False Positive Rate (FPR),True Positive Rate (TPR),Thresholds
0.0,0.0,inf
0.0,0.14942528735632185,1.0
0.0,0.1724137931034483,0.99999994
0.0,0.26436781609195403,0.9999998
0.0,0.27586206896551724,0.99999976
0.0,0.2988505747126437,0.9999997
0.0,0.4367816091954023,0.9999942
0.0,0.45977011494252873,0.99999243
0.0,0.8850574712643678,0.99293727
0.006097560975609756,0.8850574712643678,0.99014264
0.006097560975609756,0.9080459770114943,0.98595697
0.012195121951219513,0.9080459770114943,0.97982603
0.012195121951219513,0.9655172413793104,0.8098643
0.06097560975609756,0.9655172413793104,0.032842055
0.06097560975609756,0.9770114942528736,0.0104134185
0.12195121951219512,0.9770114942528736,0.0019863616
0.12195121951219512,0.9885057471264368,0.0015599873
0.17682926829268292,0.9885057471264368,0.0004974723
0.17682926829268292,1.0,0.00048539173
1.0,1.0,6.911392e-21
